Zip,Score
02562,1.07
02563,1.07
02564,4.44
02568,4.44
02571,1.02
02575,4.44
02576,1.36
02584,4.44
02601,1.91
02630,0.99
02631,1.58
02632,1.63
02633,2.16
02635,1.95
02637,0.99
02638,0.99
02639,1.58
02641,0.99
02642,2.16
02643,2.16
02644,1.07
02645,1.58
02646,2.16
02647,2.82
02648,1.95
02649,1.19
02650,2.16
02651,2.16
02652,2.16
02653,2.16
02655,2.82
02657,2.16
02659,2.16
02660,0.99
02663,2.16
02664,0.99
02666,2.16
02667,2.16
02668,1.03
02669,2.16
02670,0.99
02671,1.58
02672,2.82
02673,1.91
02675,0.99
02702,2.89
02703,2.41
02713,4.44
02715,0.91
02717,1.63
02718,1.32
02719,1.70
02720,3.73
02721,3.73
02723,2.89
02724,5.40
02725,0.91
02726,0.91
02738,1.70
02739,1.70
02740,2.95
02743,3.68
02744,4.67
02745,2.35
02746,2.19
02747,1.69
02748,3.21
02760,2.40
02762,0.91
02763,2.40
02764,0.91
02766,1.02
02767,1.84
02769,0.90
02770,1.70
02771,0.90
02777,0.91
02779,1.59
02780,1.80
02790,2.51
02791,1.63
02861,3.92
